ethnicity,probability
White British,0.5814225458097005
White Other,0.24918109106130024
Asian British,0.021493969397017716
Indian,0.021493969397017716
Pakistani,0.017195175517614174
Bangladeshi,0.008597587758807087
Chinese,0.008597587758807087
Other Asian,0.008597587758807087
Black British,0.011131988252920087
Caribbean,0.009276656877433407
African,0.012987319628406768
Other Black,0.003710662750973363
White and Asian,0.010696743061761929
White and Black,0.010696743061761929
Other Mixed,0.005348371530880964
Arab,0.00978600018839493
Other,0.00978600018839493
